번호,유형,분야,직무,실제 업무,복합 에피소드,필요한 자료,전문가 판단·작업,산출물·실행,실패 조건,재료별 보완,업무 특성 근거 URL,검토 수준
143,운영형,영상·음성,숏폼 크리에이터,짧은 영상 콘셉트·후킹·편집; 시리즈 실험,첫 장면의 강한 약속으로 노출은 늘지만 내용 불일치로 완주·신뢰가 떨어지고 플랫폼별 자막·음원 사용 조건도 다름,주제·시청반응·대본·소스·권리·길이·플랫폼규격,핵심 효용·첫 장면·전개 설계 → 변형 제작 → 완주·재시청·후속 행동·약속 이행 비교,"숏폼·자막·변형본, 실험·시리즈 개선 기록",조회만 최적화해 내용·브랜드·권리·실제 전환을 훼손하면 실패,"M22 압축 서사, M09·M55 세로영상, M54 변형 실험, M51 장기 반응 필요",https://www.onetonline.org/link/summary/27-2012.00 | https://www.onetonline.org/link/summary/27-4032.00 | https://support.google.com/youtube/answer/9314415?hl=en,문서상 책임 배치·보완 분석 / 실제 실행 미검증
144,운영형,영상·음성,팟캐스터,오디오 프로그램·인터뷰; 녹음·편집·배포,원격 인터뷰 음질이 깨지고 게스트 발언을 줄이면 맥락이 달라져 분량·사실·청취 경험·협찬 조건을 조정해야 함,원음·질문·전사·출처·출연동의·음향·피드·협찬,핵심 대화·사실 확인 → 편집·음질·맥락 조정 → 전편 청취·전사·배포 검수,"에피소드·전사·쇼노트, 음원·피드·권리 기록",전사 텍스트만 확인하고 청취 가능성·화자·맥락·배포 오류를 놓치면 실패,"M07 오디오 입력, M09 음향 편집, M18 인용, M55 음원자산·M42 피드 검수, M10 배포 필요",https://www.onetonline.org/link/summary/27-2012.00 | https://www.onetonline.org/link/summary/27-3043.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
145,운영형,글,블로거,독자 질문·주제 조사; 글·검색 유입·갱신 운영,상위 유입 글의 제품·제도 정보가 낡고 유사 글끼리 경쟁하며 제휴 수익 높은 내용을 우선할 유인이 생김,검색질문·원출처·문서·유입·갱신일·제휴·독자 반응,검색·독자 의도·정보 격차 확인 → 직접 검증·구조화 → 통합·수정·링크·성과 점검,"글·이미지·근거, 갱신·정정·콘텐츠 계획",키워드·양만 늘리고 최신성·실제 질문 해결·독자 신뢰를 잃으면 실패,"M20 갱신, M18 출처, M22 설명·편집, M10 CMS, M51 독자 성과 필요",https://www.onetonline.org/link/summary/27-3043.00 | https://www.onetonline.org/link/summary/27-3041.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
146,운영형,글,뉴스레터 작가,뉴스·정보 선별·해석; 정기 발행·구독 운영,속보가 뒤집히고 협찬사가 다루는 기업의 비판 보도가 나와 발행 마감·사실 확인·편집 독립성이 충돌함,원보도·공시·출처·구독층·발행·동의·협찬·열람,사실·의미·독자 필요 분리 → 선별·해설·반대 관점 검토 → 발송·정정·독자 반응 확인,"뉴스레터·근거·편집판단, 발송·구독·정정 기록",요약량·오픈율만 보고 잘못된 해석·이해충돌·발송 동의를 놓치면 실패,"M18·M20 근거·변화, M22 편집, M27 이해관계, M10 발송, M31 구독권한 필요",https://www.onetonline.org/link/summary/27-3043.00 | https://www.onetonline.org/link/summary/27-3041.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
147,운영형,글,웹소설 작가,장편 설정·인물·회차 집필; 연재·독자 반응 조정,독자 반응에 맞춰 전개를 바꾸면 기존 복선·인물 동기·세계 규칙이 깨지고 촉박한 연재 일정에서 장기 결말이 흔들림,설정집·인물·회차·복선·계약·일정·독자 반응,장기 갈등·회차 효용·인과 확인 → 장면·문체·전개 집필 → 연속성·몰입·일정 검수,"회차 원고·설정·복선대장, 연재·수정 계획",문장 유창성·반응만 보고 인물 일관성·복선 회수·장기 서사를 잃으면 실패,"M25 서사 상태, M22 문학 판단, M34 장기 구성, M09 원고·M25 판본, M54 독자 검토 필요",https://www.onetonline.org/link/summary/27-3043.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
148,운영형,글,웹툰 작가,웹툰 서사·콘티·작화; 연재 제작·팀 협업,액션 회차의 연출을 바꾸면 배경 3D·인물 위치·말풍선·스크롤 리듬·보조작가 일정이 연쇄 수정됨,시나리오·캐릭터·콘티·배경·작화원본·폰트·일정,장면 목표·시선·스크롤 설계 → 콘티·작화·합성 → 연속성·모바일 읽기·납품 검수,"회차 원본·이미지·콘티, 에셋·수정·연재 인계",예쁜 한 컷을 만화 완성으로 세고 연속성·가독성·제작 지속성을 놓치면 실패,"M09 2D·3D 제작, M25 연속성, M04 작화 협업, M55 레이어 자산·M40·M42 스크롤 인수 필요",https://www.onetonline.org/link/summary/27-3043.00 | https://www.onetonline.org/link/summary/27-1024.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
149,운영형,글,저술가,책 기획·논증·집필; 원고·출판·개정,수년간 집필한 비문학 원고에서 핵심 근거가 반박되고 장별 중복·인용권리·독자 난도가 드러나 구조를 다시 짜야 함,독자·목차·원자료·초고·인용·계약·편집 의견,중심 주장·근거·독자 여정 재검토 → 구조·장·문체 수정 → 전권 일관성·팩트·교정,"출판 원고·주석·서지, 권리·수정·개정 자료",장별 문장 품질만 보고 책 전체 논증·독창성·근거·독자 이해를 놓치면 실패,"M18 근거, M25 장·주장 의존, M22 저술 판단, M09 장문·주석·M25 판본 필요",https://www.onetonline.org/link/summary/27-3043.00 | https://www.onetonline.org/link/summary/27-3041.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
150,운영형,SNS,인플루언서 (패션·뷰티·라이프),개인 스타일·콘텐츠·팬 관계; 브랜드 협업,경쟁 브랜드 계약과 광고 일정이 겹치고 실제 사용 경험과 광고 문구가 달라 팬 신뢰·계약·콘텐츠 정체성이 충돌함,브랜드·계약·사용경험·제품·콘텐츠·팬 반응·촬영,정체성·실경험·독점조건 확인 → 협업·표현·제작 계획 → 표시·반응·약속 이행 점검,"콘텐츠·협업 제안·일정, 사용·권리·광고표시 기록",경험하지 않은 사용감을 만들거나 단기 협찬으로 신뢰·계약을 훼손하면 실패,"M23 정체성·M17 관계, M27 협업 충돌, M39 실사용·촬영 인수, M09·M55 콘텐츠 필요",https://www.onetonline.org/link/summary/13-1161.00 | https://www.onetonline.org/link/summary/27-2012.00 | https://support.google.com/youtube/answer/10588440?hl=en,문서상 책임 배치·보완 분석 / 실제 실행 미검증
151,운영형,SNS,인플루언서 (지식·비즈니스),전문 지식 해설·관점 형성; 강연·상품·커뮤니티 운영,투자한 회사나 유료 자문 고객을 평가하면서 일반 독자가 해설을 개인별 조언으로 받아들여 신뢰·이해관계·상품 판매가 얽힘,원자료·전문범위·이해관계·독자질문·상품·피드백,근거·대상·주장 범위 확인 → 독자별 설명·한계·반론 설계 → 콘텐츠·교육·상담 경계 운영,"해설·강연·교육자료, 이해관계·근거·정정 기록",권위 있는 표현·팔로워 수를 지식 정확성과 개별 조언 적합성으로 바꾸면 실패,"M18 전문근거, M21 주제 능력, M27 이해관계, M38 설명·질의, M49 이해 평가 필요",https://www.onetonline.org/link/summary/13-1161.00 | https://www.onetonline.org/link/summary/13-1151.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
152,운영형,커뮤니티,커뮤니티 운영자,커뮤니티 규칙·참여 설계; 갈등·모더레이션·성장,오래된 핵심 회원과 신규 회원이 충돌하고 신고·조작 계정·운영진 이해관계 때문에 같은 규칙 적용도 불공정하게 느껴짐,게시·신고·맥락·관계·규칙·제재·참여·운영권한,사실·맥락·반복패턴 확인 → 비례적 중재·제재·이의절차 → 재발·참여·신뢰 관측,"운영정책·중재·제재·이의 기록, 참여 프로그램",삭제 속도·회원 수만 보고 맥락·공정성·소수자 발언·장기 참여를 놓치면 실패,"M18 맥락 증거, M38 갈등 조정, M31 운영권한, M25 제재 상태, M51 신뢰 필요",https://www.onetonline.org/link/summary/27-3031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
153,운영형,커머스,온라인 셀러 (자체 브랜드·D2C),자체 상품·브랜드·판매 운영; 공급·고객·손익 관리,광고가 성공해 주문이 급증했지만 품질 편차·배송 지연·환불이 늘고 생산 선금 때문에 매출 증가와 함께 현금이 부족해짐,상품·BOM·공급·검사·주문·광고·재고·반품·현금,상품·고객 가치·공헌 확인 → 품질·수요·공급·현금 계획 → 판매·출하·지원·리콜 조건 통합,"상품·판매 콘텐츠, 발주·출하·지원 계획, 손익·현금·품질 기록",광고 효율·매출만 보고 제품 적합성·반품·운전자금·고객 문제를 놓치면 실패,"M53 단위경제·현금, M35 공급·판매, M39 제조·검사 인수, M55 상품자산·M09 판매자료, M10 주문 실행 필요",https://www.onetonline.org/link/summary/13-1022.00 | https://www.onetonline.org/link/summary/11-2021.00 | https://help.shopify.com/en/manual/fulfillment/managing-orders/returns,문서상 책임 배치·보완 분석 / 실제 실행 미검증
154,운영형,커머스,온라인 셀러 (소싱·오픈마켓),상품 소싱·채널 등록; 가격·재고·주문·정산,여러 마켓에서 같은 재고가 동시 판매되고 공급사 이미지·인증·반품 조건이 불완전해 품절 취소와 제재·손실이 겹침,공급·상품권리·요건·채널·재고·주문·수수료·반품,판매 가능·실마진 확인 → 채널별 상품·재고·가격 동기화 → 주문 예외·환불·정산 대사,"상품목록·상세페이지, 재고·주문·정산·반품 기록",등록 건수만 늘리고 실재고·상품 적합성·채널별 비용·책임을 놓치면 실패,"M52 채널 대사, M25 재고·주문, M26 상품요건, M53 마진, M10 판매 실행 필요",https://www.onetonline.org/link/summary/13-1022.00 | https://help.shopify.com/en/manual/fulfillment/managing-orders/returns,문서상 책임 배치·보완 분석 / 실제 실행 미검증
155,운영형,커머스,라이브커머스 진행자,실시간 상품 설명·시연·판매; 질문·혜택·진행 조정,방송 중 가격·쿠폰·재고가 바뀌고 시연 결과가 기대와 달라 잘못된 효능·수량을 말할 위험이 생김,상품근거·시연·실재고·가격·쿠폰·질문·판매조건,현행 혜택·사실 확인 → 설득력 있는 시연·질의 응답 → 변경·오안내 즉시 정정·주문 인계,"라이브 진행·시연, 가격·혜택·정정·후속 안내 기록",말솜씨·주문량만 보고 시연 사실·최종가격·재고·약속 이행을 놓치면 실패,"M08 즉시 검증, M38 판매 대화, M07 시연 관측, M10 재고·가격 연계, M39 현장 수행 필요",https://www.onetonline.org/link/summary/11-2022.00 | https://www.onetonline.org/link/summary/27-2012.00 | https://help.shopify.com/en/manual/fulfillment/managing-orders/returns,문서상 책임 배치·보완 분석 / 실제 실행 미검증
156,운영형,커머스,구매대행·리셀러,해외·희소 상품 구매대행·리셀; 진위·통관·배송·환불,주문 뒤 가격이 뛰고 판매자 진위·병행수입 조건·파손·반품 운임이 불명확해 선결제 고객과 손실 부담이 충돌함,원판매·진위·구매계약·통관·가격·환율·배송·반품,거래 가능·진위·총비용 확인 → 조달·중단·대체 조건 → 구매·운송·검수·환불 대사,"견적·구매·배송 기록, 진위·검수 근거, 정산·분쟁 대응",희소품 확보만 보고 가품·수입 불가·추가비용·반품 책임을 놓치면 실패,"M18 진위, M26 수입요건, M53 총비용, M39 검수 인수, M38 고객·판매자 협상 필요",https://www.onetonline.org/link/summary/13-1022.00 | https://www.customs.go.kr/cvnci/cm/cntnts/cntntsView.do?cntntsId=948&mi=3217,문서상 책임 배치·보완 분석 / 실제 실행 미검증
157,운영형,창작,작곡가,음악 콘셉트·작곡·편곡; 녹음·믹스·권리·납품,광고 길이·가창 음역·영상 타이밍이 바뀌고 공동작업자의 샘플·지분·원본이 정리되지 않아 수정·발매가 막힘,브리프·레퍼런스·악보·세션·음원·타임코드·권리,음악적 의도·구조·편성 결정 → 작곡·편곡·녹음 조정 → 청취·타이밍·스템·권리 검수,"악보·MIDI·DAW 세션·마스터·스템, 크레딧·권리자료",듣기 좋은 단일 음원만 내고 수정 가능성·음역·타이밍·권리·분리 납품을 놓치면 실패,"M22 음악 판단, M09 음원 제작, M09·M55 악보·세션·스템 제작·자산, M39 연주·녹음 인수 필요",https://www.onetonline.org/link/summary/27-2041.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
158,운영형,창작,일러스트레이터,의도·스타일에 맞는 삽화; 캐릭터·연속물·매체 전개,책의 여러 장면에서 인물·빛·소품이 일관돼야 하고 표지·인쇄·굿즈 변형과 수정 요청이 겹침,원고·콘셉트·캐릭터·스타일·장면·권리·출력규격,메시지·구도·시각 언어 정리 → 스케치·채색·연속성 조정 → 실크기·매체·원본 검수,"레이어 원본·삽화·변형, 캐릭터·출력 명세",개별 이미지 미감만 보고 서사 역할·캐릭터 일관성·출력·수정성을 놓치면 실패,"M22 조형 판단, M09 생성·편집, M25 시각 연속성, M55 레이어 자산·M40·M42 출력 필요",https://www.onetonline.org/link/summary/27-1024.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
159,운영형,앱·서비스,인디게임 개발자,게임 기획·개발·출시; 판매·패치·커뮤니티 운영,작은 팀이 출시를 서두르는데 게임은 실행돼도 초반 재미·저사양 성능·세이브·상점 약속·지원 여력이 동시에 부족함,빌드·플레이 관찰·범위·성능·에셋권리·스토어·예산,핵심 재미·출시 범위 검증 → 결함·온보딩·상품성 우선순위 → 배포·지원·후속 자금 계획,"게임·스토어 자료·패치, 플레이·저장·호환 검증, 운영계획",기술적 실행을 재미·판매·지속 운영 가능성으로 대체하면 실패,"M22·M54 플레이 판단, M10 빌드·배포, M53 자금, M40·M42 엔진·스토어 인수, M35 출시 필요",https://www.onetonline.org/link/summary/15-1255.01 | https://www.onetonline.org/link/summary/15-1252.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
160,운영형,앱·서비스,앱 개발자 (개인 앱),개인 앱 문제 발견·구현; 스토어·과금·지원 운영,OS 업데이트와 결제 복원 오류가 겹쳐 기존 구독자가 기능을 잃고 스토어 설명·개인정보·현금 흐름까지 수정해야 함,사용자 과업·코드·기기·결제·구독·스토어·문의·비용,가치·재현·권한·과금 상태 확인 → 호환·복원·지원 수정 → 실제 설치·업데이트·구독 인수,"앱·스토어 자료, 과금·복원 시험, 지원·운영 기록",새 설치만 확인하고 기존 고객·복원·해지·운영비를 놓치면 실패,"M25 구독 상태, M10 스토어·결제, M54 실기기·과금 시험, M40·M42 앱 인수, M53 단위경제 필요",https://www.onetonline.org/link/summary/15-1252.00 | https://developer.apple.com/app-store/review/guidelines/ | https://developer.apple.com/app-store/subscriptions/,문서상 책임 배치·보완 분석 / 실제 실행 미검증
161,운영형,앱·서비스,SaaS 운영자,SaaS 제품·고객·수익 운영; 서비스·보안·지원 개선,대형 고객 요구로 개발을 집중한 사이 작은 고객 이탈·장애·클라우드 비용·지원 부채가 늘고 갱신·현금이 악화됨,사용·매출·이탈·장애·지원·계약·로드맵·비용,고객 가치·수익·신뢰성 병목 확인 → 제품·요금·운영 대안 → 출시·계약·지원·지표 피드백,"SaaS·요금·로드맵, 운영·보안·지원 절차, 수익·고객 성과",기능·MRR만 보고 실제 유지·가동·지원·현금·테넌트 격리를 놓치면 실패,"M34 통합 운영 판단, M33·M53 생존·단위경제, M35·M42 서비스 회복, M35 제품·고객 의존 필요",https://www.onetonline.org/link/summary/15-1252.00 | https://www.onetonline.org/link/summary/11-2022.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
162,운영형,앱·서비스,오픈소스 메인테이너,공개 소프트웨어 설계·리뷰·릴리스; 이슈·기여자·보안 운영,핵심 의존 취약점과 호환성 파괴가 겹치고 유지보수자는 부족한데 이용 조직은 빠른 패치를 요구함,코드·테스트·의존·이슈·기여·라이선스·버전·보안보고,영향·호환·악용·지원 범위 확인 → 비공개 수정·리뷰·릴리스 조정 → 배포·이전·후속 검증,"패치·릴리스·보안권고, 변경·이전 문서, 기여·지원 정책",코드 병합을 안전한 공급·호환·유지보수 완료로 세면 실패,"M43 코드리뷰, M35 공개·배포 의존, M31 취약정보 권한, M40·M42 패키지·이전 인수, M38 기여자 조정 필요",https://www.onetonline.org/link/summary/15-1252.00 | https://docs.github.com/en/code-security/concepts/vulnerability-reporting-and-management/repository-security-advisories,문서상 책임 배치·보완 분석 / 실제 실행 미검증
163,운영형,투자,개인 투자자 (장기),기업·자산 분석·포트폴리오; 장기 보유·리밸런싱,사업 가설이 흔들리는데 가격은 싸 보이고 개인의 주택자금 필요·집중 투자·세금·유동성이 매도 판단과 충돌함,공시·산업·가치모형·보유·현금수요·세금·위험한도,투자 가설·반증·자금 제약 확인 → 가치 범위·하락·유동성 비교 → 비중·보유·매도·재검토 조건,"투자 메모·가치모형, 포트폴리오·실행·사후검토 기록",그럴듯한 목표가·백테스트 수익으로 미래 수익을 보장하거나 생활자금 제약을 놓치면 실패,"M18 공시·반증, M53 가치·포트폴리오, M33 집중·현금, M34 조건부 판단 필요",https://www.onetonline.org/link/summary/13-2051.00 | https://www.onetonline.org/link/summary/13-2052.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
164,운영형,투자,개인 투자자 (단기 매매),단기 매매 전략·주문; 시장·포지션·손실 관리,급변장에서 호가 공백·부분 체결·증거금 변화·연결 장애가 겹쳐 백테스트와 다른 손실·미결 주문이 생김,시세·호가·체결·주문·잔고·수수료·증거금·시장규칙,전략·비용·체결 가정 검증 → 실시간 노출·한도 확인 → 취소·축소·복구 후 체결 대사,"검증 전략·주문·위험 로그, 체결·손익 대사",이론 수익을 체결 가능 수익으로 바꾸거나 주문 응답을 실제 체결로 세면 실패,"M08 시장 반응, M10 주문·체결, M25 포지션 상태, M33 결합손실, M54 슬리피지·장애 시험 필요",https://www.onetonline.org/link/summary/41-3031.00 | https://www.onetonline.org/link/summary/13-2054.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
165,운영형,투자,엔젤 투자자,초기기업 발굴·실사; 투자조건·후속 지원,창업팀의 지표가 계약·입금과 다르고 지분·우선권·후속 희석·공동창업자 갈등 때문에 성장성만으로 투자 여부를 정할 수 없음,팀·고객·코호트·계약·현금·캡테이블·지식재산·조건,시장·팀·지표 진위·권리 확인 → 실패·희석·후속자금 시나리오 → 조건·금액·보류·지원 결정,"실사·투자 메모, 캡테이블·조건안, 후속 점검 계획",발표자료·성장률만 보고 지표 진위·권리·현금·희석을 놓치면 실패,"M18 실사, M53 가치·희석·회수, M38 조건 협상, M33 집중·후속자금, M35 사후관리 필요",https://www.onetonline.org/link/summary/13-2051.00 | https://www.onetonline.org/link/summary/13-1111.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
166,운영형,투자,부동산 투자자·임대 운영자,임대 부동산 매입·운영; 임차·수선·자금·매각 관리,공실·연체·설비 수선·차환 만기가 겹치고 임차인 권리·보증금·공동소유자 이견 때문에 장부 수익률과 실제 현금이 갈림,권리·임대차·보증금·대출·현장·수선·세금·시장,실물·권리·운영 수지 확인 → 공실·수선·차환·매각 시나리오 → 임차·공사·자금 실행 조정,"투자·운영·현금모형, 임대·수선·대금 기록, 대안·실행 계획",표면 수익률만 보고 권리·보증금 반환·필수 수선·차환 실패를 놓치면 실패,"M53 자산·현금모형, M33 결합위험, M39 현장·수선 인수, M38 임차·금융 협상, M35 운영 필요",https://www.onetonline.org/link/summary/13-2023.00 | https://www.onetonline.org/link/summary/13-2052.00 | https://www.onetonline.org/link/summary/41-9022.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
